채널,게시일,제목,주요내용,링크,id,썸네일URL,분야태그,비고
유튜브,2026-05-01,[Event] What if the income from 'this' stopped? | What if..🧑 🔬❓,,https://www.youtube.com/watch?v=IDGIoJrCaxw,IDGIoJrCaxw,https://i.ytimg.com/vi/IDGIoJrCaxw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA67B1lJ-mKTbqB_3610yam--WaeQ,,
포토뉴스,2026-04-24,"생기원, 대한민국 과학축제서 연구성과 활용한 체험 프로그램 공개","한국생산기술연구원이 대한민국 과학축제에 참가해 3 대 중점 연구분야를 알리고 , 생기원의 기술을 접목한 체험 프로그램을 진행했다 . 이번 행사에서 생기원은 세계 최초 AI 기반 물체 조립기술 , 무인 자동화 스마트팜 정식로봇 , 생분해성 플라스틱 비닐 생산기술을 결합해 관람객이 로봇팔을 이용해 직접 모종을 심어보는 체험 부스를 마련했다 . 이를 통해 생기원",https://www.kitech.re.kr/pages/60?id=14321&menuMode=READ&q=,14321,https://www.kitech.re.kr/api/v1/attachment/aa616bad-fcec-40ae-990d-f65ac0dce7f8?size=640,,
보도자료,2026-04-16,성능․안전 동시에 잡은 전고체 배터리 핵심 소재 개발,"성능·안전 동시에 잡은 전고체 배터리 핵심 소재 개발 - 세 원소 조합으로 이온전도도 77배 향상, 유독가스 40% 감소 - 전고체 전지 적용 실증, 100회 충·방전에도 안정적 작동 □ 한국생산기술연구원(원장 이상목, 이하 생기원)이 전고체 배터리용 황화물계 고체전해질의 성능과 안정성을 높인 소재를 개발했다. ㅇ 생기원 저탄소에너지그룹 김태효 수석연구원",https://www.kitech.re.kr/pages/61?id=14318&menuMode=READ&q=,14318,https://www.kitech.re.kr/api/v1/attachment/1c9a8662-c04b-4e1a-840a-d1618545ba0c?size=640,,
포토뉴스,2026-04-09,"한국생산기술연구원, 남서울대학교와 업무협약 체결","4월 9일(목), 한국생산기술연구원이 남서울대학교와 업무협약을 체결했다. 양 기관은 2023년 첫 협력을 시작한 이래 공동 연구 및 교육·인력 교류 등으로 협력의 범위를 확대해왔으며 이번 협약을 통해 포괄적이고 굳건한 동반자 관계로 발전하게 됐다. 이상목 원장은 ""천안의 제조산업은 AI 기반의 디지털 전환 및 미래 신산업이 움틀 수 있는 혁신 생태계 조성의",https://www.kitech.re.kr/pages/60?id=14313&menuMode=READ&q=,14313,https://www.kitech.re.kr/api/v1/attachment/e13600a0-f86e-4617-b8ec-6df2a1868011?size=640,,
보도자료,2026-04-01,K-패키징 국가대표 가린다,"K-패키징 국가대표 가린다 - 3월 31일, 킨텍스에서 제20회 대한민국 패키징 대전 개최 - 2007년 첫 포상부터 세계 무대 진출까지, K-패키징 기술혁신 견인차 □ 산업통상부가 주최하고 한국생산기술연구원(원장 이상목. 이하 생기원) 패키징기술센터가 주관하는 '2026 대한민국 패키징 대전(KOREA STAR AWARDS 2026)'이 고양시 킨텍스(K",https://www.kitech.re.kr/pages/61?id=14307&menuMode=READ&q=,14307,https://www.kitech.re.kr/api/v1/attachment/94a766c9-668f-42e4-a6c6-ae3f0b8720b2?size=640,,
포토뉴스,2026-03-30,제20회 대한민국 패키징 대전 개최,"3월 31일(화), 고양 킨텍스에서 '2026 제20회 대한민국 패키징 대전(KOREA STAR AWARDS 2026)'이 개최됐다. 산업통상자원부가 주최하고 패키징기술센터가 주관하는 이 행사는 국내 패키징 분야 유일의 정부시상으로, 올해로 20회를 맞았다. 그간 기술력·친환경성·디자인을 겸비한 우수 패키징 기술을 발굴·포상하며 K-패키징 산업의 혁신을 이",https://www.kitech.re.kr/pages/60?id=14303&menuMode=READ&q=,14303,https://www.kitech.re.kr/api/v1/attachment/7258b297-e944-4713-b255-4522ee71bd78?size=640,,
블로그,2026-03-20,손가락은 이제 그만 찌르세요! 땀으로 혈당을 재는 시대가 온다,"당뇨 환자라면 하루에도 몇 번씩 손가락을 바늘로 찔러야 합니다. 아프고, 감염 위험도 있고, 솔직히 너무 번거롭죠. 그런데 만약 운동할 때 흘리는 땀 한 방울로 혈당을 실시간으로 알 수 있다면 어떨까요? 한국생산기술연구원과 한양대 연구팀이 그 상상을 현실로 만드는 기술을 개발했습니다. 게다가, 복잡한 제조 공정 없이 레이저 하나 로요. 기존 방식, 뭐가 문",https://blog.naver.com/kitechblog/224223668890,224223668890,https://mblogthumb-phinf.pstatic.net/MjAyNjAzMjBfNTEg/MDAxNzczOTkzMDc1Nzcz.qmbpQcrQiwGwe9KeUs3nXJyDqoOu4TGBo5CnScZzL2sg.pPWeS4pfm-fNmyxo7eKLhLd-03EHaOG26awROHd2JBwg.JPEG/%ED%91%9C%EC%A7%801.jpg?type=w800,,cat=57/43
포토뉴스,2026-03-16,"KITECH-(주)APS, 에코 알막(ECO-Almag) 특허기술이전 협약식 개최","한국생산기술연구원이 알루미늄 합금 소재인 ‘ECO-Almag(에코 알막)’ 원천기술을 ㈜APS(회장 정기로)에 30억 원 규모로 기술 이전하는 계약을 체결했다. 생기원은 3월 16일(월), 천안 본원에서 ‘KITECH - APS 기술 이전 업무협약식’을 갖고, 에코 알막 합금의 판재(Flat Rolled Products) 제조기술에 대한 특허사용 권리(통상",https://www.kitech.re.kr/pages/60?id=14274&menuMode=READ&q=,14274,https://www.kitech.re.kr/api/v1/attachment/bb6478bb-3117-4763-97a5-76a78de94d50?size=640,,
포토뉴스,2026-03-10,제17회 생산기술연구상 시상식 개최,"3월 10일(화), 인간중심생산기술연구소에서 제17회 생산기술연구상 수여식을 개최했다. 생산기술연구상은 핵심 R&D성과 창출과 연구자들의 동기부여를 위해 추진하는 사업으로 매년 우수 성과를 창출한 연구자를 발굴·포상하고 있으며, 올해로 17회째를 맞았다. 이번 시상에는 총 4명의 연구자 조한철 (반도체 CMP 공정 안정성 향상을 위한 예측·계측·세정 AI",https://www.kitech.re.kr/pages/60?id=14209&menuMode=READ&q=,14209,https://www.kitech.re.kr/api/v1/attachment/990ea5d7-6f41-4ede-9e2e-241e1227342f?size=640,,
포토뉴스,2026-02-12,"2026년 전기 UST 학위수여식에서 KITECH스쿨 졸업생, 과기부 장관상 수상","12 일 열린 ‘2025 년 전기 UST 학위수여식 ’ 에서 박사 97 명 , 석사 103 명 , 전문석사 2 명 , 총 202 명이 학위를 받았다 . 이 가운데 UST-KITECH 스쿨은 총 8 명 ( 박사 1, 석사 7) 의 졸업생을 배출했으며 , 졸업생들은 그동안 로봇공학 , 산업소재 · 스마트 제조공학 , 청정공정 · 에너지시스템공학 분야에서 연구",https://www.kitech.re.kr/pages/60?id=14208&menuMode=READ&q=,14208,https://www.kitech.re.kr/api/v1/attachment/cd5b0321-0c8b-4780-9a2a-32da6fec8a83?size=640,,
보도자료,2026-02-11,"땀으로 혈당 재는 센서, 레이저로 한 번에 '만든다'","땀으로 혈당 재는 센서, 레이저로 한 번에 '만든다' - 마스크 공정 없는 레이저 패터닝 기술로 복잡한 공정 줄여 - 18배 높은 감도, 10 만 회 굽혀도 성능 유지 □ 당뇨 환자는 하루에도 수차례 손가락을 찔러 혈당을 측정하지만, 통증과 감염 위험이 따르고 일상에서 수시로 측정하기 어렵다. ㅇ 이 때문에 침이나 땀으로 혈당을 측정하는 비침습 센서 개발이",https://www.kitech.re.kr/pages/61?id=14255&menuMode=READ&q=,14255,https://www.kitech.re.kr/api/v1/attachment/2e935971-d69d-4165-bd78-836b96bd7399?size=640,,
